index,hh,nonfin,totPrivate
1999-03-31,0.094,0.424,0.16
1999-06-30,0.095,0.42700000000000005,0.162
1999-09-30,0.096,0.434,0.165
1999-12-31,0.09699999999999999,0.439,0.16699999999999998
2000-03-31,0.098,0.447,0.17
2000-06-30,0.099,0.455,0.172
2000-09-30,0.099,0.45899999999999996,0.17300000000000001
2000-12-31,0.099,0.46399999999999997,0.174
2001-03-31,0.099,0.465,0.17300000000000001
2001-06-30,0.099,0.466,0.172
2001-09-30,0.099,0.465,0.171
2001-12-31,0.099,0.462,0.16899999999999998
2002-03-31,0.098,0.457,0.16699999999999998
2002-06-30,0.09699999999999999,0.451,0.165
2002-09-30,0.09699999999999999,0.445,0.16399999999999998
2002-12-31,0.09699999999999999,0.436,0.162
2003-03-31,0.09699999999999999,0.429,0.16
2003-06-30,0.098,0.42200000000000004,0.16
2003-09-30,0.098,0.41600000000000004,0.159
2003-12-31,0.098,0.41100000000000003,0.158
2004-03-31,0.098,0.408,0.157
2004-06-30,0.098,0.40399999999999997,0.157
2004-09-30,0.099,0.401,0.158
2004-12-31,0.10099999999999999,0.39899999999999997,0.159
2005-03-31,0.102,0.39899999999999997,0.161
2005-06-30,0.10400000000000001,0.397,0.16399999999999998
2005-09-30,0.107,0.396,0.166
2005-12-31,0.10800000000000001,0.395,0.168
2006-03-31,0.109,0.395,0.16899999999999998
2006-06-30,0.111,0.39899999999999997,0.171
2006-09-30,0.11199999999999999,0.402,0.17300000000000001
2006-12-31,0.113,0.409,0.175
2007-03-31,0.114,0.41700000000000004,0.17800000000000002
2007-06-30,0.115,0.424,0.18
2007-09-30,0.115,0.433,0.182
2007-12-31,0.115,0.439,0.183
2008-03-31,0.114,0.442,0.183
2008-06-30,0.11199999999999999,0.444,0.18100000000000002
2008-09-30,0.111,0.441,0.179
2008-12-31,0.10800000000000001,0.434,0.175
2009-03-31,0.107,0.426,0.172
2009-06-30,0.106,0.423,0.17
2009-09-30,0.106,0.42,0.168
2009-12-31,0.105,0.415,0.166
2010-03-31,0.10300000000000001,0.408,0.16399999999999998
2010-06-30,0.10099999999999999,0.397,0.161
2010-09-30,0.099,0.38799999999999996,0.158
2010-12-31,0.098,0.38,0.155
2011-03-31,0.096,0.37799999999999995,0.153
2011-06-30,0.094,0.375,0.151
2011-09-30,0.092,0.375,0.149
2011-12-31,0.091,0.375,0.14800000000000002
2012-03-31,0.08900000000000001,0.371,0.146
2012-06-30,0.08800000000000001,0.37,0.145
2012-09-30,0.087,0.371,0.14400000000000002
2012-12-31,0.085,0.37,0.142
2013-03-31,0.085,0.36700000000000005,0.141
2013-06-30,0.084,0.366,0.141
2013-09-30,0.084,0.366,0.142
2013-12-31,0.085,0.365,0.14300000000000002
2014-03-31,0.084,0.369,0.14300000000000002
2014-06-30,0.084,0.37200000000000005,0.142
2014-09-30,0.083,0.37200000000000005,0.142
2014-12-31,0.08199999999999999,0.373,0.141
2015-03-31,0.081,0.373,0.141
2015-06-30,0.081,0.376,0.141
2015-09-30,0.081,0.379,0.141
2015-12-31,0.081,0.385,0.142
2016-03-31,0.08,0.391,0.142
2016-06-30,0.08,0.396,0.14300000000000002
2016-09-30,0.08,0.40299999999999997,0.14400000000000002
2016-12-31,0.081,0.405,0.14400000000000002
2017-03-31,0.08,0.41100000000000003,0.145
2017-06-30,0.08,0.41200000000000003,0.146
2017-09-30,0.08,0.41200000000000003,0.145
2017-12-31,0.08,0.409,0.145
2018-03-31,0.079,0.401,0.14400000000000002
2018-06-30,0.079,0.39899999999999997,0.145
2018-09-30,0.078,0.39299999999999996,0.145
2018-12-31,0.078,0.39399999999999996,0.145
2019-03-31,0.078,0.41100000000000003,0.147
2019-06-30,0.078,0.43,0.149
2019-09-30,0.078,0.45,0.151
2019-12-31,0.078,0.46299999999999997,0.152
2020-03-31,0.077,0.475,0.154
2020-06-30,0.075,0.485,0.151
